year,val,cutoff,percentile,country
1981,6910,cop5,5,Australia
1985,6864,cop5,5,Australia
1989,6555,cop5,5,Australia
1995,6551,cop5,5,Australia
2001,7002,cop5,5,Australia
2003,7090,cop5,5,Australia
1987,8818,cop5,5,Austria
1994,8744,cop5,5,Austria
1995,5813,cop5,5,Austria
1997,8586,cop5,5,Austria
2000,9807,cop5,5,Austria
2004,10510,cop5,5,Austria
1985,7718,cop5,5,Belgium
1988,7956,cop5,5,Belgium
1992,8287,cop5,5,Belgium
1995,8312,cop5,5,Belgium
1997,8188,cop5,5,Belgium
2000,8593,cop5,5,Belgium
1981,7361,cop5,5,Canada
1987,7961,cop5,5,Canada
1991,8175,cop5,5,Canada
1994,8117,cop5,5,Canada
1997,7643,cop5,5,Canada
1998,7600,cop5,5,Canada
2000,7696,cop5,5,Canada
2004,7904,cop5,5,Canada
2007,9171,cop5,5,Canada
2010,9445,cop5,5,Canada
1987,7976,cop5,5,Denmark
1992,8236,cop5,5,Denmark
1995,9668,cop5,5,Denmark
2000,10148,cop5,5,Denmark
2004,10539,cop5,5,Denmark
2000,1730,cop5,5,Estonia
2004,2162,cop5,5,Estonia
2007,3737,cop5,5,Estonia
2010,2980,cop5,5,Estonia
1987,7364,cop5,5,Finland
1991,7933,cop5,5,Finland
1995,7624,cop5,5,Finland
2000,7978,cop5,5,Finland
2004,8596,cop5,5,Finland
2007,8946,cop5,5,Finland
2010,9379,cop5,5,Finland
1978,5045,cop5,5,France
1984,4121,cop5,5,France
1989,6504,cop5,5,France
1994,7696,cop5,5,France
2000,7972,cop5,5,France
2005,7815,cop5,5,France
1981,8961,cop5,5,Germany
1983,10101,cop5,5,Germany
1984,7731,cop5,5,Germany
1989,9583,cop5,5,Germany
1994,8512,cop5,5,Germany
2000,9142,cop5,5,Germany
2004,8950,cop5,5,Germany
2007,8841,cop5,5,Germany
2010,8554,cop5,5,Germany
1995,2846,cop5,5,Greece
2000,3852,cop5,5,Greece
2004,5327,cop5,5,Greece
2007,5937,cop5,5,Greece
2010,4925,cop5,5,Greece
1987,3959,cop5,5,Ireland
1994,5439,cop5,5,Ireland
1995,5457,cop5,5,Ireland
1996,5765,cop5,5,Ireland
2000,6744,cop5,5,Ireland
2004,7827,cop5,5,Ireland
2007,9672,cop5,5,Ireland
2010,8196,cop5,5,Ireland
1986,4185,cop5,5,Israel
1992,4895,cop5,5,Israel
1997,4359,cop5,5,Israel
2001,4968,cop5,5,Israel
2005,3858,cop5,5,Israel
2007,4258,cop5,5,Israel
2010,4233,cop5,5,Israel
1986,4711,cop5,5,Italy
1987,4653,cop5,5,Italy
1989,5959,cop5,5,Italy
1991,6247,cop5,5,Italy
1993,4241,cop5,5,Italy
1995,4054,cop5,5,Italy
1998,4294,cop5,5,Italy
2000,4767,cop5,5,Italy
2004,5155,cop5,5,Italy
2008,5910,cop5,5,Italy
2010,5011,cop5,5,Italy
1985,8882,cop5,5,Luxembourg
1991,13654,cop5,5,Luxembourg
1994,14712,cop5,5,Luxembourg
1997,13300,cop5,5,Luxembourg
2000,13970,cop5,5,Luxembourg
2004,15231,cop5,5,Luxembourg
2007,15191,cop5,5,Luxembourg
2010,15875,cop5,5,Luxembourg
1989,962,cop5,5,Mexico
1992,952,cop5,5,Mexico
1994,998,cop5,5,Mexico
1996,795,cop5,5,Mexico
1998,693,cop5,5,Mexico
2000,898,cop5,5,Mexico
2002,972,cop5,5,Mexico
2004,979,cop5,5,Mexico
2008,1140,cop5,5,Mexico
2010,1021,cop5,5,Mexico
1983,7213,cop5,5,Netherlands
1987,8689,cop5,5,Netherlands
1990,8871,cop5,5,Netherlands
1993,7412,cop5,5,Netherlands
1999,10584,cop5,5,Netherlands
2004,9601,cop5,5,Netherlands
2007,11309,cop5,5,Netherlands
2010,11254,cop5,5,Netherlands
1979,6791,cop5,5,Norway
1986,8430,cop5,5,Norway
1991,8930,cop5,5,Norway
1995,9729,cop5,5,Norway
2000,10393,cop5,5,Norway
2004,10898,cop5,5,Norway
1995,1690,cop5,5,Poland
1999,2577,cop5,5,Poland
2004,2343,cop5,5,Poland
2007,3016,cop5,5,Poland
2010,3504,cop5,5,Poland
1980,3366,cop5,5,Spain
1985,3493,cop5,5,Spain
1990,4637,cop5,5,Spain
1995,3737,cop5,5,Spain
2000,5677,cop5,5,Spain
2004,5542,cop5,5,Spain
2007,6138,cop5,5,Spain
2010,4112,cop5,5,Spain
1981,6203,cop5,5,Sweden
1987,6107,cop5,5,Sweden
1992,6897,cop5,5,Sweden
1995,6151,cop5,5,Sweden
2000,7801,cop5,5,Sweden
2005,9611,cop5,5,Sweden
1982,10261,cop5,5,Switzerland
1992,6980,cop5,5,Switzerland
2000,10978,cop5,5,Switzerland
2002,11384,cop5,5,Switzerland
2004,10504,cop5,5,Switzerland
1979,5683,cop5,5,United Kingdom
1986,5421,cop5,5,United Kingdom
1991,5678,cop5,5,United Kingdom
1994,6646,cop5,5,United Kingdom
1995,5814,cop5,5,United Kingdom
1999,6871,cop5,5,United Kingdom
2004,8418,cop5,5,United Kingdom
2007,6810,cop5,5,United Kingdom
2010,6781,cop5,5,United Kingdom
1979,7143,cop5,5,United States
1986,6753,cop5,5,United States
1991,6674,cop5,5,United States
1994,6503,cop5,5,United States
1997,7142,cop5,5,United States
2000,7809,cop5,5,United States
2004,7226,cop5,5,United States
2007,7285,cop5,5,United States
2010,6410,cop5,5,United States
1981,8290,cop10,10,Australia
1985,8222,cop10,10,Australia
1989,8190,cop10,10,Australia
1995,7776,cop10,10,Australia
2001,8474,cop10,10,Australia
2003,8583,cop10,10,Australia
1987,11154,cop10,10,Austria
1994,11032,cop10,10,Austria
1995,8961,cop10,10,Austria
1997,10829,cop10,10,Austria
2000,11901,cop10,10,Austria
2004,12808,cop10,10,Austria
1985,8920,cop10,10,Belgium
1988,9182,cop10,10,Belgium
1992,9942,cop10,10,Belgium
1995,9864,cop10,10,Belgium
1997,9951,cop10,10,Belgium
2000,10531,cop10,10,Belgium
1981,9799,cop10,10,Canada
1987,10531,cop10,10,Canada
1991,10680,cop10,10,Canada
1994,10575,cop10,10,Canada
1997,10285,cop10,10,Canada
1998,10070,cop10,10,Canada
2000,10307,cop10,10,Canada
2004,10657,cop10,10,Canada
2007,12062,cop10,10,Canada
2010,12239,cop10,10,Canada
1987,9387,cop10,10,Denmark
1992,9901,cop10,10,Denmark
